DEPUTADO CARLOS PIMENTA,18
DEPUTADO CRISTIANO SILVEIRA,12
DEPUTADA ANDRÉIA DE JESUS,7
DEPUTADO DOUTOR JEAN FREIRE,2
DEPUTADA LAURA SERRANO,2
DEPUTADO ANDRÉ QUINTÃO,5
DEPUTADO SARGENTO RODRIGUES,3
DEPUTADO CLEITINHO AZEVEDO,1
DEPUTADO GIL PEREIRA,7
DEPUTADO ALENCAR DA SILVEIRA JR.,3
DEPUTADO BERNARDO MUCIDA,2
DEPUTADA LENINHA,6
DEPUTADO CÁSSIO SOARES,1
DEPUTADO VIRGÍLIO GUIMARÃES,1
DEPUTADO ULYSSES GOMES,3
DEPUTADO CARLOS HENRIQUE,1
DEPUTADO ARLEN SANTIAGO,4
DEPUTADA MARÍLIA CAMPOS,1
DEPUTADA ANA PAULA SIQUEIRA,1
DEPUTADA IONE PINHEIRO,3
DEPUTADO GUSTAVO SANTANA,1
DEPUTADO PROFESSOR CLEITON,5
DEPUTADO DALMO RIBEIRO SILVA,2
DEPUTADO ANTONIO CARLOS ARANTES,2
DEPUTADO CORONEL SANDRO,2
DEPUTADO BRUNO ENGLER,1
DEPUTADO GUSTAVO VALADARES,2
DEPUTADO SÁVIO SOUZA CRUZ,1
DEPUTADO JOÃO LEITE,1
DEPUTADO ELISMAR PRADO,1
DEPUTADO CELINHO SINTROCEL,1
