numDoc,controle,autor,matricula,dataPronunciamento,resumo,legislatura,dataSessao,evento
000001679,45386,DEPUTADO AGOSTINHO PATRUS,15245,2020-07-13 09:00:00,Agradece a presença dos deputados e dos debatedores.,19,2020-07-13 09:00:00,Seminário Reforma da Previdência de Minas Gerais
000001702,45372,DEPUTADO PROFESSOR IRINEU,26137,2020-07-09 14:00:00,"Elogia decisão do presidente da Assembleia Legislativa de realizar um
seminário para discussão das mudanças no regime previdenciário dos
servidores civis do Estado, antes de retomar a tramitação da reforma
proposta pelo governador Romeu Zema. Apresenta um histórico da
Previdência, ressaltando que o aumento da alíquota não resolverá o
problema, e que os servidores, como sociedade, não podem ser
responsabilizados pela situação.",19,2020-07-09 14:00:00,
000001703,45373,DEPUTADO BETÃO,26145,2020-07-09 14:00:00,"Critica alguns pontos da proposta da reforma da Previdência dos
servidores civis do Estado, como o aumento das alíquotas de
contribuição, exemplificando o caso dos aposentados, o aumento de sete
anos na idade mínima de aposentadoria para as mulheres e alterações na
pensão por morte. Comenta que a decisão do presidente da Assembleia
Legislativa de realizar um seminário para discutir a reforma é
importante, porém insuficiente. Ressalta que o servidor não pode ser
responsabilizado pela situação financeira do Estado, destacando as
isenções fiscais concedidas a grandes empresas e reflexos da Lei Kandir.",19,2020-07-09 14:00:00,
000001704,45374,DEPUTADO DOUTOR JEAN FREIRE,22581,2020-07-09 14:00:00,"Critica o governo do Estado por apresentar proposta de reforma da
Previdência dos servidores públicos civis durante a pandemia de Covid-
19. Ressalta a importância dos servidores e informa que cerca de 70%
recebem entre um e quatro salários-mínimos e não podem ser
responsabilizados pela situação financeira do Estado. Elogia decisão do
presidente da Assembleia Legislativa de realizar um seminário para
discussão da proposta.",19,2020-07-09 14:00:00,
000001705,45375,DEPUTADA LAURA SERRANO,26165,2020-07-09 14:00:00,"Informa sobre o programa ""Fala, Secretário"", no qual diretores de escola
podem dialogar e fazer propostas diretamente para a secretária de Estado
de Educação, por meio de videoconferência. Elogia decisão do presidente
da Assembleia Legislativa de realizar um seminário para discussão da
proposta de reforma da Previdência dos servidores públicos civis.",19,2020-07-09 14:00:00,
000001706,45376,DEPUTADO ANDRÉ QUINTÃO,12195,2020-07-09 14:00:00,"Critica a demora do governo do Estado para apresentar a proposta de
reforma da Previdência dos servidores civis, apresentando-a em um
momento crítico da pandemia da Covid-19, contendo matéria além da
previdenciária. Defende revisão da portaria federal que estabelece prazo
para análise das alíquotas, em decorrência da pandemia. Comenta que a
realização do seminário anunciado pelo presidente da Assembleia
Legislativa sobre a reforma é um passo preliminar importantíssimo.
Ressalta, no entanto, que não se pode defender a aprovação da proposta
do governo sob o argumento de resolver o desequilíbrio orçamentário e o
deficit fiscal do Estado, e que é necessária a discussão da sonegação
fiscal, dos benefícios e renúncias fiscais e da ausência de imposto
sobre produtos exportados.",19,2020-07-09 14:00:00,
000001707,45377,DEPUTADO SARGENTO RODRIGUES,9673,2020-07-09 14:00:00,"Comenta que a proposta de seminário on-line da Assembleia Legislativa
para a discussão da reforma da Previdência dos servidores civis pode não
ser suficiente, pelas dificuldades que o modelo impõe ao contraditório
entre representantes dos sindicatos, do governo e parlamentares. Defende
a suspensão da portaria do governo federal que determina o prazo de 31
de julho para alguns itens da reforma, ressaltando que muitos prazos
federais, como o das eleições municipais, já foram alterados em função
da pandemia da Covid-19.",19,2020-07-09 14:00:00,
000001708,45378,DEPUTADA ANA PAULA SIQUEIRA,19150,2020-07-09 14:00:00,"Informa que a Frente Parlamentar de Defesa dos Direitos das Crianças e
dos Adolescentes realizará várias ações virtuais por ocasião do
transcurso do 30º aniversário de criação do Estatuto da Criança e do
Adolescente. Comemora a entrada em funcionamento da delegacia de
mulheres virtual, ressaltando que será importante para reforçar o
atendimento às vítimas de violência doméstica durante a pandemia da
Covid-19, causada pelo coronavírus. Comenta a suspensão temporária da
tramitação da proposta de reforma da Previdência dos servidores civis na
Assembleia Legislativa, ressaltando que continuará acompanhando a
tramitação, buscando ampliar e garantir a participação popular no
processo.",19,2020-07-09 14:00:00,
000001709,45366,DEPUTADO VIRGÍLIO GUIMARÃES,2698,2020-07-08 14:00:00,"Saúda a Sra. Ana Cândida, torcedora do Clube Atlético Mineiro, por
ocasião do seu 100º aniversário. Comenta que é fundamental escutar os
servidores e ouvir as várias posições sobre a reforma da Previdência dos
servidores civis, e que, no momento, deveriam ser votadas apenas as
alíquotas de contribuição. Ressalta que o aumento das alíquotas deveria
ocorrer no momento em que houver reajuste salarial. Propõe que toda
alteração constitucional de alto impacto na coletividade seja alvo de
consulta popular.",19,2020-07-08 14:00:00,
000001710,45367,DEPUTADA MARÍLIA CAMPOS,12213,2020-07-08 14:00:00,"Comenta a importância da manifestação realizada na Assembleia
Legislativa contra a reforma da Previdência dos servidores civis,
ressaltando que o principal pleito foi a suspensão da tramitação das
proposições que compõem a reforma. Comenta que o único tópico sobre o
qual deveria haver deliberação neste momento é o das alíquotas de
contribuição, devido ao prazo federal. Destaca pontos que considera
negativos na proposta, como a questão do pedágio e das pensões. Destaca
ainda que a proposta atual não conseguiria sanear o deficit
previdenciário, podendo, inclusive, ampliá-lo.",19,2020-07-08 14:00:00,
