numDoc,controle,autor,dataPronunciamento,resumo,legislatura,dataSessao,matricula
000000101,46999,FAUSTO VASCONCELOS,2021-11-08 20:00:00,"Agradece a homenagem concedida à Igreja Batista brasileira pelo
transcurso do 150º aniversário do início do trabalho batista no Brasil.",19,2021-11-08 20:00:00,
000000102,47000,DEPUTADO ANTONIO CARLOS ARANTES,2021-11-08 20:00:00,"Presta homenagem à Igreja Batista brasileira pelo transcurso do 150º
aniversário do início do trabalho batista no Brasil.",19,2021-11-08 20:00:00,7327
000000103,47001,MÁRCIO ALEXANDRE SANTOS,2021-11-08 20:00:00,"Convida os presentes a orarem, por ocasião da homenagem concedida à
Igreja Batista brasileira pelo transcurso do 150º aniversário do início
do trabalho batista no Brasil.",19,2021-11-08 20:00:00,
000000119,46993,DEPUTADO ANTONIO CARLOS ARANTES,2021-10-28 19:00:00,"Presta homenagem pelo transcurso do 100º aniversário da visita dos reis
belgas ao Brasil.",19,2021-10-28 19:00:00,7327
000000120,46994,HENRIQUE MACHADO RABELO,2021-10-28 19:00:00,"Agradece a homenagem pelo transcurso do 100º aniversário da visita dos
reis belgas ao Brasil.",19,2021-10-28 19:00:00,
000000121,46995,PATRICK HERMAN,2021-10-28 19:00:00,Transcurso do 100º aniversário da visita dos reis belgas ao Brasil.,19,2021-10-28 19:00:00,
000000122,46996,DEPUTADO ANTONIO CARLOS ARANTES,2021-10-28 19:00:00,"Presta homenagem pelo transcurso do 100º aniversário da visita dos reis
belgas ao Brasil.",19,2021-10-28 19:00:00,7327
000000104,46978,DEPUTADA BEATRIZ CERQUEIRA,2021-10-28 10:00:00,"Declara posição favorável à Subemenda nº 1 à Emenda nº 183 ao projeto de
lei que estima as receitas e fixa as despesas do Orçamento Fiscal do
Estado e do Orçamento de Investimento das Empresas Controladas pelo
Estado para o exercício financeiro de 2022.",19,2021-10-28 10:00:00,26098
000000105,46979,DEPUTADO GUSTAVO VALADARES,2021-10-28 10:00:00,"Declara posição contrária à Subemenda nº 1 à Emenda nº 183 ao projeto de
lei que estima as receitas e fixa as despesas do Orçamento Fiscal do
Estado e do Orçamento de Investimento das Empresas Controladas pelo
Estado para o exercício financeiro de 2022.",19,2021-10-28 10:00:00,12202
000000106,46980,DEPUTADO HELY TARQÜÍNIO,2021-10-28 10:00:00,"Declara posição favorável à Subemenda nº 1 à Emenda nº 183 ao projeto de
lei que estima as receitas e fixa as despesas do Orçamento Fiscal do
Estado e do Orçamento de Investimento das Empresas Controladas pelo
Estado para o exercício financeiro de 2022.",19,2021-10-28 10:00:00,5905
000000107,46981,DEPUTADA BEATRIZ CERQUEIRA,2021-10-28 10:00:00,"Declara posição favorável às Emendas nº 179, 180 e 181 ao projeto de lei
que estima as receitas e fixa as despesas do Orçamento Fiscal do Estado
e do Orçamento de Investimento das Empresas Controladas pelo Estado para
o exercício financeiro de 2022.",19,2021-10-28 10:00:00,26098
000000108,46982,DEPUTADO GUSTAVO VALADARES,2021-10-28 10:00:00,"Declara posição contrária às Emendas nº 179, 180 e 181 ao projeto de lei
que estima as receitas e fixa as despesas do Orçamento Fiscal do Estado
e do Orçamento de Investimento das Empresas Controladas pelo Estado para
o exercício financeiro de 2022.",19,2021-10-28 10:00:00,12202
000000109,46983,DEPUTADA BEATRIZ CERQUEIRA,2021-10-28 10:00:00,"Declara posição favorável à Emenda nº 182 ao projeto de lei que estima
as receitas e fixa as despesas do Orçamento Fiscal do Estado e do
Orçamento de Investimento das Empresas Controladas pelo Estado para o
exercício financeiro de 2022.",19,2021-10-28 10:00:00,26098
000000110,46984,DEPUTADO GUSTAVO VALADARES,2021-10-28 10:00:00,"Declara posição contrária à Emenda nº 182 ao projeto de lei que estima
as receitas e fixa as despesas do Orçamento Fiscal do Estado e do
Orçamento de Investimento das Empresas Controladas pelo Estado para o
exercício financeiro de 2022.",19,2021-10-28 10:00:00,12202
000000111,46985,DEPUTADA BEATRIZ CERQUEIRA,2021-10-28 10:00:00,"Declara posição favorável à Emenda nº 317 ao projeto de lei que estima
as receitas e fixa as despesas do Orçamento Fiscal do Estado e do
Orçamento de Investimento das Empresas Controladas pelo Estado para o
exercício financeiro de 2022.",19,2021-10-28 10:00:00,26098
000000112,46986,DEPUTADO GUSTAVO VALADARES,2021-10-28 10:00:00,"Declara posição contrária à Emenda nº 317 ao projeto de lei que estima
as receitas e fixa as despesas do Orçamento Fiscal do Estado e do
Orçamento de Investimento das Empresas Controladas pelo Estado para o
exercício financeiro de 2022.",19,2021-10-28 10:00:00,12202
000000113,46987,DEPUTADA BEATRIZ CERQUEIRA,2021-10-28 10:00:00,"Declara posição favorável à Emenda nº 319 ao projeto de lei que estima
as receitas e fixa as despesas do Orçamento Fiscal do Estado e do
Orçamento de Investimento das Empresas Controladas pelo Estado para o
exercício financeiro de 2022.",19,2021-10-28 10:00:00,26098
000000114,46988,DEPUTADO GUSTAVO VALADARES,2021-10-28 10:00:00,"Declara posição contrária à Emenda nº 319 ao projeto de lei que estima
as receitas e fixa as despesas do Orçamento Fiscal do Estado e do
Orçamento de Investimento das Empresas Controladas pelo Estado para o
exercício financeiro de 2022.",19,2021-10-28 10:00:00,12202
