numDoc,controle,autor,matricula,dataPronunciamento,resumo,legislatura,dataSessao
000003901,43196,DEPUTADO SARGENTO RODRIGUES,9673,2019-07-02 14:00:00,"Comenta que será enviado ofício ao prefeito de Belo Horizonte, à
Secretaria Municipal de Cultura, à Câmara Municipal e ao Ministério
Público questionando se há recursos públicos sendo empregados na obra de
restauração e intervenção de um antigo casarão da Rua Guaicurus, no
Município de Belo Horizonte, que abrigará o futuro Museu do Sexo das
Putas. Ressalta que esse gasto não deveria ser prioridade do governo.",19,2019-07-02 14:00:00
000003902,43197,DEPUTADO ULYSSES GOMES,18867,2019-07-02 14:00:00,"Critica balanço divulgado pelo governo do Estado dos seis primeiros
meses de gestão, apresentado análise de alguns dados que considera
incorretos.",19,2019-07-02 14:00:00
000003903,43198,DEPUTADO ANDRÉ QUINTÃO,12195,2019-07-02 14:00:00,"Critica medidas consideradas pelo governo do Estado para lidar com o
desequilíbrio fiscal, como a adesão ao Plano de Recuperação Fiscal do
governo federal. Defende a luta pela compensação de perdas acarretadas
pela Lei Kandir.",19,2019-07-02 14:00:00
000003904,43199,DEPUTADO CORONEL SANDRO,26163,2019-07-02 14:00:00,"Critica obra para restauração e intervenção em local que vai abrigar o
Museu do Sexo das Putas, na Rua Guaicurus, no Município de Belo
Horizonte. Critica projeto iniciado no governo Pimentel, que permitiria
a locação de casas luxuosas para acomodar adolescentes em regime de
semiliberdade. Comenta, em relação às compensações em função de perdas
acarretadas pela Lei Kandir, que espera que reunião agendada com o
Supremo Tribunal Federal - STF - sobre o assunto resulte em algo efetivo
para o Estado. Homenagem pelo Dia Nacional do Bombeiro.",19,2019-07-02 14:00:00
000003905,43184,DEPUTADA BEATRIZ CERQUEIRA,26098,2019-07-01 20:00:00,"Homenagem ao Corpo de Bombeiros Militar de Minas Gerais, à Polícia
Militar de Minas Gerais, à Polícia Civil de Minas Gerais, à Defesa Civil
de Minas Gerais e aos bombeiros civis por suas respectivas atuações em
Brumadinho.",19,2019-07-01 20:00:00
000003906,43185,DEPUTADO SARGENTO RODRIGUES,9673,2019-07-01 20:00:00,"Homenagem ao Corpo de Bombeiros Militar de Minas Gerais, à Polícia
Militar de Minas Gerais, à Polícia Civil de Minas Gerais, à Defesa Civil
de Minas Gerais e aos bombeiros civis por suas respectivas atuações em
Brumadinho.",19,2019-07-01 20:00:00
000003907,43186,DEPUTADO DUARTE BECHIR,17919,2019-07-01 20:00:00,"Homenagem ao Corpo de Bombeiros Militar de Minas Gerais, à Polícia
Militar de Minas Gerais, à Polícia Civil de Minas Gerais, à Defesa Civil
de Minas Gerais e aos bombeiros civis por suas respectivas atuações em
Brumadinho.",19,2019-07-01 20:00:00
000003908,43187,EDGARD ESTEVO DA SILVA,,2019-07-01 20:00:00,"Agradece a homenagem pela atuação do Corpo de Bombeiros Militar do
Estado de Minas Gerais - CBMMG - em Brumadinho.",19,2019-07-01 20:00:00
000003909,43188,MARCELO FERNANDES,,2019-07-01 20:00:00,"Agradece a homenagem pela atuação da Polícia Militar do Estado de Minas
Gerais - PMMG - em Brumadinho.",19,2019-07-01 20:00:00
000003910,43189,WAGNER PINTO DE SOUZA,,2019-07-01 20:00:00,"Agradece a homenagem pela atuação da Polícia Civil do Estado de Minas
Gerais - PCMG - em Brumadinho.",19,2019-07-01 20:00:00
000003911,43190,RODRIGO SOUSA RODRIGUES,,2019-07-01 20:00:00,"Agradece a homenagem pela atuação da Defesa Civil de Minas Gerais em
Brumadinho.",19,2019-07-01 20:00:00
