numDoc,controle,autor,matricula,dataPronunciamento,resumo,legislatura,dataSessao
000002096,44999,DEPUTADO DALMO RIBEIRO SILVA,9655,2020-05-13 09:00:00,"Agradece ao deputado Gustavo Valadares o parecer sobre o veto parcial ao
projeto de lei que autoriza o Poder Executivo a realizar a compensação
de dívidas vencidas com crédito tributário. Elogia o trabalho do
governador Romeu Zema, especialmente no combate ao coronavírus. Solicita
ao governador o pagamento dos servidores da educação. Comenta a
importância do reconhecimento de calamidade pública nos municípios
mineiros em decorrência da pandemia da Covid-19.",19,2020-05-13 09:00:00
000002097,45000,DEPUTADO ARLEN SANTIAGO,9652,2020-05-13 09:00:00,"Solicita ao governo do Estado que utilize verba do governo federal para
colocar em dia o pagamento do programa Pro-Hosp.",19,2020-05-13 09:00:00
000002098,45001,DEPUTADO VIRGÍLIO GUIMARÃES,2698,2020-05-13 09:00:00,"Elogia o prefeito de Belo Horizonte, Alexandre Kalil. Justifica seu voto
contrário ao veto ao inciso IV do art. 1º ao projeto de lei que autoriza
o Poder Executivo a realizar a compensação de dívidas vencidas com
crédito tributário; e voto favorável ao veto aos demais dispositivos.",19,2020-05-13 09:00:00
000002099,45002,DEPUTADA LAURA SERRANO,26165,2020-05-13 09:00:00,"Justifica seu voto contrário ao veto ao inciso IV do art. 1º ao projeto
de lei que autoriza o Poder Executivo a realizar a compensação de
dívidas vencidas com crédito tributário; e voto favorável ao veto aos
demais dispositivos.",19,2020-05-13 09:00:00
000002100,45003,DEPUTADO BARTÔ,26144,2020-05-13 09:00:00,"Justifica seu voto contrário ao veto parcial ao projeto de lei que
autoriza o Poder Executivo a realizar a compensação de dívidas vencidas
com crédito tributário.",19,2020-05-13 09:00:00
000002101,45004,DEPUTADA MARÍLIA CAMPOS,12213,2020-05-13 09:00:00,"Justifica seu voto em branco ao veto parcial ao projeto de lei que
autoriza o Poder Executivo a realizar a compensação de dívidas vencidas
com crédito tributário. Manifesta preocupação com a notícia de casos da
Covid-19 em pequenos municípios do interior do Estado, onde não há
estrutura hospitalar. Elogia o prefeito de Belo Horizonte, Alexandre
Kalil, pelas medidas de combate à pandemia do novo coronavírus.",19,2020-05-13 09:00:00
000002102,45005,DEPUTADO DOUTOR JEAN FREIRE,22581,2020-05-13 09:00:00,"Elogia a inclusão na pauta de vetos a projetos relacionados à pandemia
da Covid-19, solicitando que, para a votação dos próximos vetos, o
parecer seja entregue previamente aos deputados, para uma melhor
análise. Elogia o prefeito de Belo Horizonte, Alexandre Kalil, e a
Assembleia Legislativa, por ouvirem os especialistas sobre o novo
coronavírus.",19,2020-05-13 09:00:00
000002103,45006,DEPUTADO FERNANDO PACHECO,26133,2020-05-13 09:00:00,"Declara ter se equivocado no momento da votação do veto parcial ao
projeto de lei que autoriza o Poder Executivo a realizar a compensação
de dívidas vencidas com crédito tributário. Informa que queria ter
votado de acordo com a indicação do relator. Presta homenagem pelo Dia
Internacional da Enfermagem.",19,2020-05-13 09:00:00
000002109,44971,DEPUTADO GUSTAVO MITRE,26135,2020-05-12 14:00:00,"Solicita apoio ao projeto de lei de sua autoria que altera a lei que
dispõe sobre a propaganda e a publicidade promovidas por órgão público
ou entidade sob controle direto ou indireto do Estado para incluir
dispositivos sobre a veiculação de campanhas voltadas à prevenção e
controle de endemias ou epidemias, sobre o compartilhamento dos custos
das campanhas de interesse público e sobre transparência das despesas
com publicidade. Elogia a equipe técnica da Assembleia Legislativa.",19,2020-05-12 14:00:00
000002110,44972,DEPUTADO GIL PEREIRA,7762,2020-05-12 14:00:00,"Solicita a liberação do Sistema de Gerenciamento de Resoluções Estaduais
de Saúde - Sigres -, para destinação dos recursos das emendas
parlamentares para o combate à Covid-19, causada pelo coronavírus.
Elogia campanha “Patrocine uma vida”, da Prefeitura de Montes Claros.",19,2020-05-12 14:00:00
000002111,44973,DEPUTADO ZÉ GUILHERME,26105,2020-05-12 14:00:00,"Solicita apoio ao projeto de lei de sua autoria que dispõe sobre a
suspensão dos pagamentos das dívidas dos municípios com o Estado durante
a pandemia de Covid-19, causada pelo coronavírus. Manifesta preocupação,
como presidente da Comissão de Esporte, Lazer e Juventude, com a
situação do esporte durante a pandemia, especialmente do esporte amador.",19,2020-05-12 14:00:00
000002112,44974,DEPUTADO PROFESSOR CLEITON,26119,2020-05-12 14:00:00,"Solicita seja colocado em pauta projeto de lei de sua autoria que dispõe
sobre a suspensão de cobrança de faturas de energia elétrica e água de
hospitais filantrópicos, asilos e entidades sem fins lucrativos que
atuam na distribuição de bens para pessoas em estado de vulnerabilidade
social. Lamenta fala do governador Romeu Zema, em uma entrevista
concedida à Leda Nagle, a respeito dos profissionais da área da educação
do Estado. Presta homenagem pelo Dia Internacional da Enfermagem.",19,2020-05-12 14:00:00
000002113,44975,DEPUTADO BETÃO,26145,2020-05-12 14:00:00,"Manifesta posição favorável ao projeto de lei que dispõe sobre a doação
de sangue pelos cidadãos mineiros. Presta homenagem pelo Dia
Internacional da Enfermagem. Lamenta a situação dos trabalhadores da
Caixa Econômica Federal - CEF -, neste momento de pagamento do benefício
destinado aos trabalhadores autônomos em decorrência da pandemia da
Covid-19, causada pelo coronavírus. Informa que apresentou requerimento
solicitando seja encaminhado à CEF pedido de providências para que seja
ampliada a parceria com os demais bancos, casas lotéricas e agências dos
Correios a fim de descentralizar o pagamento à população beneficiária do
auxílio emergencial. Comenta que alguns municípios mineiros estão
recebendo pacientes infectados de outros estados, ressaltando que Minas
Gerais faz fronteira com vários estados, e que é preciso fazer uma
discussão para que alguns polos, como Juiz de Fora, se transformem em
polos interestaduais.",19,2020-05-12 14:00:00
000002114,44976,DEPUTADO ANDRÉ QUINTÃO,12195,2020-05-12 14:00:00,"Comenta que projetos importantes serão votados na presente semana,
ressaltando o projeto de lei que dispõe sobre a doação de sangue pelos
cidadãos mineiros; e o projeto de lei que autoriza o Poder Executivo a
prover renda mínima emergencial aos cidadãos que possuam vínculo
empregatício com micro e pequenas empresas do ramo da produção cultural,
na forma que especifica. Comenta reunião que será destinada a debater a
estrutura da rede de atendimento hospitalar no Estado para o
enfrentamento à Covid-19, bem como a testagem da população para o novo
coronavírus. Questiona a aplicação pelo Executivo da lei que dispõe
sobre a adoção de medidas para o enfrentamento do estado de calamidade
pública decorrente da pandemia de Covid-19. Comenta aumento nas contas
de energia elétrica emitidas pela Companhia Energética de Minas Gerais -
Cemig. Informa que apresentou requerimento cobrando a liberação dos
recursos de saúde para os municípios.",19,2020-05-12 14:00:00
000002115,44977,DEPUTADA LAURA SERRANO,26165,2020-05-12 14:00:00,"Transcurso do Dia Nacional de Combate ao Abuso e à Exploração Sexual de
Crianças e Adolescentes. Informa que a Frente Parlamentar em Defesa dos
Direitos das Crianças e dos Adolescentes apresentou requerimento
solicitando a realização de reunião especial para tratar os efeitos do
isolamento social, em decorrência da pandemia da Covid-19, causada pelo
coronavírus, como o aumento da violência doméstica.",19,2020-05-12 14:00:00
000002116,44978,DEPUTADO SARGENTO RODRIGUES,9673,2020-05-12 14:00:00,"Solicita ações para a retomada gradual do comércio e das atividades no
Estado. Critica ações do prefeito de Belo Horizonte, Alexandre Kalil,
especialmente em relação às medidas adotadas no combate à Covid-19,
causada pelo coronavírus. Apresenta apelo ao presidente Jair Bolsonaro
em relação a artigo que trata dos servidores públicos no Projeto de Lei
Complementar Federal n° 39, de 2020, que dispõe sobre a cooperação
federativa na área de saúde e assistência pública em situações de
emergência de saúde pública de importância nacional ou internacional.",19,2020-05-12 14:00:00
000002117,44979,DEPUTADA CELISE LAVIOLA,2267,2020-05-12 14:00:00,"Elogia o projeto de lei que dispõe sobre a utilização dos recursos do
Fundo Especial para Infância e Adolescência durante a pandemia de
Covid-19 para famílias em áreas de alta vulnerabilidade social e dá
outras providências. Defende a aprovação do projeto de resolução que
reconhece o estado de calamidade pública no Município de Inhapim, em
decorrência da pandemia do coronavírus. Comenta o aumento do número de
casos de Covid-19 no Município de Aimorés.",19,2020-05-12 14:00:00
000002118,44980,DEPUTADO ARLEN SANTIAGO,9652,2020-05-12 14:00:00,"Solicita o pagamento das emendas impositivas para a área da saúde.
Elogia ação do Serviço Social Autônomo - SSA-Servas - de captar doações,
principalmente de alimentos, e sugere que a distribuição dessas doações
seja feita pela Defesa Civil, para que a ação não tenha um viés
político. Solicita que verbas federais destinadas aos hospitais sejam
distribuídas com maior rapidez pelas prefeituras. Presta homenagem pelo
Dia Internacional da Enfermagem. Solicita seja adiada a votação do
projeto de lei que dispõe sobre a doação de sangue pelos cidadãos
mineiros, para uma maior discussão, tendo em vista que não considera que
o projeto tenha relação com a pandemia da Covid-19, causada pelo
coronavírus.",19,2020-05-12 14:00:00
