numDoc,controle,autor,dataPronunciamento,resumo,legislatura,dataSessao,matricula
000003401,43701,ESTEVES PEDRO COLNAGO,2019-10-21 20:00:00,"Transcurso do 50º aniversário de criação do Serviço Geológico do Brasil
– CPRM.",19,2019-10-21 20:00:00,
000003402,43702,DEPUTADO GUSTAVO VALADARES,2019-10-21 20:00:00,"Lê mensagem do presidente da Assembleia Legislativa, deputado Agostinho
Patrus, por ocasião do transcurso do 50º aniversário de criação do
Serviço Geológico do Brasil – CPRM.",19,2019-10-21 20:00:00,12202
000003403,43696,DEPUTADO JOÃO VÍTOR XAVIER,2019-10-18 17:00:00,"Transcurso do 50º aniversário de regulamentação da fisioterapia e da
terapia ocupacional no Brasil.",19,2019-10-18 17:00:00,18858
000003404,43697,RODRIGO PACHECO,2019-10-18 17:00:00,"Transcurso do 50º aniversário de regulamentação da fisioterapia e da
terapia ocupacional no Brasil.",19,2019-10-18 17:00:00,
000003405,43698,ANDERSON LUÍS COELHO,2019-10-18 17:00:00,"Transcurso do 50º aniversário de regulamentação da fisioterapia e da
terapia ocupacional no Brasil.",19,2019-10-18 17:00:00,
000003406,43699,DEPUTADO ANTONIO CARLOS ARANTES,2019-10-18 17:00:00,"Transcurso do 50º aniversário de regulamentação da fisioterapia e da
terapia ocupacional no Brasil. Lê mensagem do presidente da Assembleia
Legislativa, deputado Agostinho Patrus.",19,2019-10-18 17:00:00,7327
000003407,43692,DEPUTADO DUARTE BECHIR,2019-10-17 14:00:00,"Comenta ação da Polícia Federal envolvendo garimpo no Município de
Diamantina. Informa sobre reunião com a Secretaria de Estado de Meio
Ambiente e Desenvolvimento Sustentável - Semad  -, o Ministério Público
do Estado de Minas Gerais - MPMG -, Secretaria de Estado de
Desenvolvimento Social - Sedese -, o Instituto Brasileiro do Meio
Ambiente e dos Recursos Naturais Renováveis - Ibama - e prefeitos da
região para achar um caminho para o retorno das atividades do garimpo,
de forma que as cooperativas possam atuar dentro da legalidade.",19,2019-10-17 14:00:00,17919
000003408,43693,DEPUTADO BOSCO,2019-10-17 14:00:00,"Comemora a formatura de 79 novos delegados da Polícia Civil do Estado de
Minas Gerais - PCMG -, parabenizando o governo do Estado por autorizar a
formação desses delegados.",19,2019-10-17 14:00:00,18857
000003409,43694,DEPUTADO DOUTOR JEAN FREIRE,2019-10-17 14:00:00,"Elogia o programa Assembleia Fiscaliza. Critica as secretarias de
Estado pela falta de pagamento das emendas do Plano Plurianual de Ação
Governamental - PPAG.",19,2019-10-17 14:00:00,22581
000003410,43695,DEPUTADO CLEITINHO AZEVEDO,2019-10-17 14:00:00,"Presta esclarecimentos sobre os motivos de não ter cumprido o Regimento
Interno da Assembleia quanto à vestimenta em reunião anterior.",19,2019-10-17 14:00:00,26101
000003411,43689,DEPUTADO SARGENTO RODRIGUES,2019-10-16 14:00:00,"Solicita ao presidente ""ad hoc"", deputado Hely Tarqüínio, que reforce ao
presidente da Assembleia Legislativa, deputado Agostinho Patrus, a
necessidade de os deputados observarem as normas referentes às
vestimentas exigidas durante o funcionamento das reuniões.",19,2019-10-16 14:00:00,9673
000003412,43690,DEPUTADO DUARTE BECHIR,2019-10-16 14:00:00,"Elogia o programa de educação especial apresentado pela secretária de
Educação, Julia Sant’Anna.",19,2019-10-16 14:00:00,17919
000003413,43691,DEPUTADO FERNANDO PACHECO,2019-10-16 14:00:00,Homenagem pelo transcurso do Dia do Professor.,19,2019-10-16 14:00:00,26133
000003414,43684,DEPUTADO ANTONIO CARLOS ARANTES,2019-10-10 14:00:00,"Registra a presença do pessoal do Parlamento Jovem do Município de
Marmelópolis.",19,2019-10-10 14:00:00,7327
000003415,43685,DEPUTADO DUARTE BECHIR,2019-10-10 14:00:00,"Comenta ação da Polícia Federal envolvendo garimpo no Município de
Diamantina. Informa que se reunirá com o secretário de meio ambiente
para achar um caminho para o retorno das atividades do garimpo, de forma
que as cooperativas possam atuar dentro da legalidade. Informa sobre
acordo firmado com o secretário de Estado de Meio Ambiente para que seja
feito um levantamento das multas aplicadas a produtores rurais da região
do Vale do Jequitinhonha. Comenta que haverá audiência no Município de
Medina a fim de se chegar a um entendimento da secretaria com os
produtores para que eles possam produzir dentro do estabelecido na
legislação. Homenagem pelo 81º aniversário do Município de Serrania.",19,2019-10-10 14:00:00,17919
000003416,43686,DEPUTADO CLEITINHO AZEVEDO,2019-10-10 14:00:00,"Informa que abre mão de receber homenagens. Manifesta solidariedade ao
deputado federal André Janones, que passa por um processo de cassação de
mandato. Critica os partidos políticos e defende candidatura
independente de partido.",19,2019-10-10 14:00:00,26101
000003417,43687,DEPUTADO FERNANDO PACHECO,2019-10-10 14:00:00,"Elogia o programa Assembleia Fiscaliza, parabenizando o Parlamento
mineiro pela iniciativa. Solicita aos deputados que façam reflexão para
a valorização do professor, por ocasião do transcurso do Dia do
Professor.",19,2019-10-10 14:00:00,26133
000003418,43688,DEPUTADO SARGENTO RODRIGUES,2019-10-10 14:00:00,"Sugere aos servidores públicos civis e militares que cobrem dos
deputados a aprovação do projeto de lei que dispõe sobre a cessão de
direitos creditórios de titularidade do Estado relacionados com a
Companhia de Desenvolvimento Econômico de Minas Gerais - Codemig.",19,2019-10-10 14:00:00,9673
000003419,43712,DEPUTADO JOÃO LEITE,2019-10-09 14:00:00,"Homenagem ao ex-deputado Renato Azeredo pelo transcurso do 100º
aniversário de nascimento.",19,2019-10-09 14:00:00,7766
000003420,43680,DEPUTADO MAURO TRAMONTE,2019-10-07 20:00:00,"Transcurso do 50º aniversário de fundação da Federação dos Clubes do
Estado de Minas Gerais – Fecemg.",19,2019-10-07 20:00:00,26111
000003421,43681,MARCOLINO DE OLIVEIRA PINTO JÚNIOR,2019-10-07 20:00:00,"Transcurso do 50º aniversário de fundação da Federação dos Clubes do
Estado de Minas Gerais – Fecemg.",19,2019-10-07 20:00:00,
000003422,43682,DEPUTADO PROFESSOR WENDEL MESQUITA,2019-10-07 20:00:00,"Transcurso do 50º aniversário de fundação da Federação dos Clubes do
Estado de Minas Gerais – Fecemg. Lê mensagem do presidente da Assembleia
de Minas, deputado Agostinho Patrus.",19,2019-10-07 20:00:00,17872
000003423,43683,DEPUTADO PROFESSOR WENDEL MESQUITA,2019-10-07 20:00:00,"Transcurso do 50º aniversário de fundação da Federação dos Clubes do
Estado de Minas Gerais – Fecemg. Agradece ao Cel. Dias, do Círculo
Militar de Belo Horizonte, ao Coral do Minas Tênis e ao Sr. Ricardo
Santiago, que contribuiu com o coral. Parabeniza o autor do requerimento
que deu origem à homenagem, deputado Mauro Tramonte, pela importante
iniciativa.",19,2019-10-07 20:00:00,17872
000003428,43636,DEPUTADA BEATRIZ CERQUEIRA,2019-10-03 20:00:00,"Transcurso do 30º aniversário de fundação da Universidade do Estado de
Minas Gerais – Uemg.",19,2019-10-03 20:00:00,26098
000003429,43637,LAVÍNIA ROSA RODRIGUES,2019-10-03 20:00:00,"Transcurso do 30º aniversário de fundação da Universidade do Estado de
Minas Gerais – Uemg.",19,2019-10-03 20:00:00,
000003430,43638,DEPUTADO PROFESSOR CLEITON,2019-10-03 20:00:00,"Transcurso do 30º aniversário de fundação da Universidade do Estado de
Minas Gerais – Uemg. Lê mensagem do presidente da Assembleia
Legislativa, deputado Agostinho Patrus.",19,2019-10-03 20:00:00,26119
000003424,43632,DEPUTADO CARLOS HENRIQUE,2019-10-03 14:00:00,"Registra a presença de alunos do Centro Universitário UNA de Belo
Horizonte.",19,2019-10-03 14:00:00,10002
000003425,43633,DEPUTADO DOUTOR JEAN FREIRE,2019-10-03 14:00:00,"Comenta que a Secretaria Especial do Trabalho e da Previdência pretende
criar um estatuto da aprendizagem e tomar duas medidas que precarizarão
o trabalho do menor aprendiz: que jovens contratados sejam
preferencialmente do ensino médio e que o contrato seja feito direto
pelas empresas, sem passar por qualquer acompanhamento de empresas
externas ou ONGs. Ressalta que essas medidas formalizariam o trabalho
infantil no País.",19,2019-10-03 14:00:00,22581
000003426,43634,DEPUTADA BEATRIZ CERQUEIRA,2019-10-03 14:00:00,"Lamenta agressões sofridas por professores no Vale do Mucuri e no Bairro
Alípio de Melo, no Município de Belo Horizonte. Comenta a importância da
Petróleo Brasileiro S/A - Petrobras - para o País por ocasião do
transcurso do 66º aniversário dessa empresa. Lê carta do ex-presidente
Luiz Inácio Lula da Silva.",19,2019-10-03 14:00:00,26098
000003427,43635,DEPUTADO BRUNO ENGLER,2019-10-03 14:00:00,"Lamenta agressões sofridas por professores no Vale do Mucuri e no Bairro
Alípio de Melo, no Município de Belo Horizonte. Comenta pronunciamento
da deputada Beatriz Cerqueira a respeito da Petrobras e do ex-Presidente
Luiz Inácio Lula da Silva. Elogia o decreto federal que facilita o
acesso de agentes de segurança pública a armas de fogo particulares.",19,2019-10-03 14:00:00,26148
000003431,43624,DEPUTADA MARÍLIA CAMPOS,2019-10-02 14:00:00,"Comemora aprovação no Senado Federal de emenda supressiva à reforma da
Previdência que diz respeito à questão do abono salarial.",19,2019-10-02 14:00:00,12213
000003432,43625,DEPUTADO DUARTE BECHIR,2019-10-02 14:00:00,"Informa sobre os resultados da audiência da Comissão de Defesa dos
Direitos da Pessoa com Deficiência para debater as condições de
atendimento aos alunos com deficiência no Estado. Parabeniza o
governador Romeu Zema, na figura da sua secretária de Educação, pelas
decisões anunciadas na reunião.",19,2019-10-02 14:00:00,17919
000003433,43626,DEPUTADO ALENCAR DA SILVEIRA JR.,2019-10-02 14:00:00,"Parabeniza a secretária de Estado da Educação e a Comissão de Defesa dos
Direitos da Pessoa com Deficiência por decisões relativas à educação das
pessoas com deficiência. Parabeniza o Partido Novo e seu representante
na Assembleia Legislativa, o deputado Bartô, pela seriedade, pelos
compromissos assumidos em campanha e pela conduta na Casa.",19,2019-10-02 14:00:00,7752
