numDoc,controle,autor,matricula,dataPronunciamento,resumo,legislatura,dataSessao,evento
000003496,43577,DEPUTADO ALENCAR DA SILVEIRA JR.,7752,2019-09-25 10:00:00,"Declara voto favorável à Emenda nº 4 ao projeto de lei complementar que
altera a redação do art. 194, do ""caput"" do art. 196 e do art. 207, e
acrescenta o art. 200-C à Lei Complementar 59, de 18 de janeiro de 2001,
que contém a organização e a divisão judiciárias do Estado de Minas
Gerais.",19,2019-09-25 10:00:00,
000003497,43578,DEPUTADO ANDRÉ QUINTÃO,12195,2019-09-25 10:00:00,"Critica declarações do governador Romeu Zema em relação à leitura
histórica do que ocorreu em 1964 e à crise fiscal do País.",19,2019-09-25 10:00:00,
000003498,43579,DEPUTADO SARGENTO RODRIGUES,9673,2019-09-25 10:00:00,"Solicita a inclusão na pauta do projeto de lei que institui o Fundo
Estadual de Segurança Pública de Minas Gerais e do projeto de lei que
dispõe sobre a comunicação em operação que envolva o emprego de
explosivos e seus acessórios.",19,2019-09-25 10:00:00,
000003499,43580,DEPUTADO DOUTOR WILSON BATISTA,18850,2019-09-25 10:00:00,"Agradece a aprovação, em 1º turno, do projeto de lei que autoriza o
Poder Executivo a habilitar no Estado centros especializados em
diagnósticos de neoplasia maligna e dá outras providências.",19,2019-09-25 10:00:00,
000003500,43581,DEPUTADO CORONEL SANDRO,26163,2019-09-25 10:00:00,"Elogia a aprovação de projetos na Assembleia Legislativa. Comenta sobre
a democracia e os acontecimentos de 1964 e critica o governo do Partido
dos Trabalhadores - PT. Elogia discurso do presidente Jair Bolsonaro na
Organização das Nações Unidas - ONU.",19,2019-09-25 10:00:00,
000003501,43582,DEPUTADO ALENCAR DA SILVEIRA JR.,7752,2019-09-25 10:00:00,"Agradece a aprovação, em 1º turno, do projeto de lei que dispõe sobre a
proibição de empresas condenadas em processos criminais de participar de
licitações ou celebrar contratos administrativos referentes a obras,
serviços, compras, alienações e locações. Pesar pelo falecimento do ex-
presidente do América Magnus Lívio. Informa que o presidente e o relator
da comissão parlamentar de inquérito - CPI - criada para investigar
denúncias de irregularidades na privatização da Companhia Energética de
Goiás e a qualidade dos serviços prestados pela sua sucessora, que
adquiriu a estatal em leilão de privatização. Comenta ter receio de que
o mesmo possa ocorrer em Minas Gerais, caso se concretize a proposta de
privatização da Companhia Energética de Minas Gerais - Cemig.",19,2019-09-25 10:00:00,
000003502,43583,DEPUTADO ELISMAR PRADO,18852,2019-09-25 10:00:00,"Comenta a importância do projeto de lei que autoriza o Poder Executivo a
habilitar no Estado centros especializados em diagnósticos de neoplasia
maligna e dá outras providências, e parabeniza o autor do projeto,
deputado Wilson Batista.",19,2019-09-25 10:00:00,
000003503,43584,DEPUTADA BEATRIZ CERQUEIRA,26098,2019-09-25 10:00:00,"Parabeniza o presidente da Assembleia Legislativa, deputado Agostinho
Patrus, por colocar projetos de autoria de deputados na pauta. Lamenta o
assassinato da menina Ágatha, no Rio de Janeiro (RJ). Comenta o discurso
de Jair Bolsonaro na Organização das Nações Unidas - ONU -, destacando
que o presidente mostrou ao mundo a sua forma de fazer política, que, em
sua opinião, envergonha e destrói o País.",19,2019-09-25 10:00:00,
000003504,43585,DEPUTADO BRUNO ENGLER,26148,2019-09-25 10:00:00,"Parabeniza o presidente da Assembleia Legislativa, deputado Agostinho
Patrus, por colocar projetos de autoria de deputados na pauta. Lamenta o
assassinato da menina Ágatha, no Rio de Janeiro (RJ). Elogia o discurso
do presidente Jair Bolsonaro na Organização das Nações Unidas - ONU - e
defende seu governo.",19,2019-09-25 10:00:00,
000003510,43566,DEPUTADO SARGENTO RODRIGUES,9673,2019-09-24 14:00:00,"Manifesta preocupação em relação aos servidores da segurança pública,
que já estão há anos sem reposição da perda inflacionária e recebendo de
forma parcelada. Critica o regime de recuperação fiscal que deve ser
enviado à Assembleia Legislativa pelo governador Romeu Zema, ressaltando
que será prejudicial aos servidores públicos, aumentando a alíquota de
contribuição previdenciária e dificultando promoções. Defende
privatizações como forma de equilibrar as contas do Estado.",19,2019-09-24 14:00:00,
000003511,43567,DEPUTADO DOUTOR JEAN FREIRE,22581,2019-09-24 14:00:00,"Informa que ao longo das últimas semanas esteve longe da Assembleia
Legislativa em função de problemas de saúde que o levaram à sala
cirúrgica. Comenta que o período foi de grande reflexão sobre a sua
atuação no Parlamento.",19,2019-09-24 14:00:00,
000003512,43568,DEPUTADO VIRGÍLIO GUIMARÃES,2698,2019-09-24 14:00:00,"Informa que participará de evento promovido pela Ordem dos Advogados do
Brasil - OAB - sobre reformas tributárias, na qual defenderá uma agenda
de tributação estadual de commodities como o minério de ferro, de forma
a superar as perdas promovidas pela Lei Kandir, e a tributação de bens
suntuários e não produtivos de donos de grandes fortunas.",19,2019-09-24 14:00:00,
000003513,43569,DEPUTADO CORONEL SANDRO,26163,2019-09-24 14:00:00,"Elogia o discurso do presidente Jair Bolsonaro na Organização das Nações
Unidas - ONU. Elogia o plano de privatizações do governo federal e as
reformas em tramitação no Congresso Nacional, em especial a da
Previdência. Manifesta apoio às privatizações de empresas como a
Companhia Energética de Minas Gerais - Cemig - e a Companhia de
Saneamento de Minas Gerais - Copasa. Elogia palestra do ministro Paulo
Guedes no 10º Fórum Liberdade e Democracia.",19,2019-09-24 14:00:00,
000003514,43570,DEPUTADO CHARLES SANTOS,26062,2019-09-24 14:00:00,"Informa sobre a sua participação em seminário realizado pela União
Nacional dos Legisladores e Legislativos - Unale - no Rio de Janeiro, em
que mediou uma mesa sobre suicídio e automutilação. Convida para o
lançamento da Frente Parlamentar de Prevenção à Automutilação, Depressão
e Suicídio.",19,2019-09-24 14:00:00,
000003515,43571,DEPUTADO DOUTOR JEAN FREIRE,22581,2019-09-24 14:00:00,"Pesar pelo falecimento de Alexandre Borges, conhecido como ""Alê do
Rosário"", líder quilombola.",19,2019-09-24 14:00:00,
000003516,43572,DEPUTADO MAURO TRAMONTE,26111,2019-09-24 14:00:00,"Informa sobre reunião realizada com representantes da comunidade, pais e
servidores da Escola Estadual Jalmir Lopes Dias, do Município de
Ribeirão das Neves, que apresentaram um abaixo-assinado externando a
posição contrária à municipalização dessa escola. Comenta que o Brasil é
o quinto país com mais mortes no trânsito no mundo e sugere a inclusão
de noções de trânsito no currículo escolar infantil.",19,2019-09-24 14:00:00,
000003517,43639,DEPUTADO TADEU MARTINS LEITE,18860,2019-09-20 10:00:00,Saúda os presentes e comenta a importância do evento.,19,2019-09-20 10:00:00,"Parlamento Jovem de Minas 2019 - 16ª edição - Tema: Discriminação Étnico-
Racial"
000003518,43640,EVANDRO TIAGO LIMEIRA,,2019-09-20 10:00:00,Saúda os presentes e comenta a importância do evento.,19,2019-09-20 10:00:00,"Parlamento Jovem de Minas 2019 - 16ª edição - Tema: Discriminação Étnico-
Racial"
000003519,43641,CLAUDINEI DOS SANTOS LIMA,,2019-09-20 10:00:00,Saúda os presentes e parabeniza os alunos participantes.,19,2019-09-20 10:00:00,"Parlamento Jovem de Minas 2019 - 16ª edição - Tema: Discriminação Étnico-
Racial"
000003520,43642,FERNANDA SIMPLÍCIO CARDOSO,,2019-09-20 10:00:00,Saúda os presentes e parabeniza os alunos participantes.,19,2019-09-20 10:00:00,"Parlamento Jovem de Minas 2019 - 16ª edição - Tema: Discriminação Étnico-
Racial"
000003521,43643,RUTH SCHIMTZ DE CASTRO,,2019-09-20 10:00:00,Saúda os presentes e comenta a importância do evento.,19,2019-09-20 10:00:00,"Parlamento Jovem de Minas 2019 - 16ª edição - Tema: Discriminação Étnico-
Racial"
000003522,43644,WALTER PERCÍDIO DE JESUS,,2019-09-20 10:00:00,Saúda os presentes e comenta a importância do evento.,19,2019-09-20 10:00:00,"Parlamento Jovem de Minas 2019 - 16ª edição - Tema: Discriminação Étnico-
Racial"
000003523,43645,DEPUTADO ZÉ GUILHERME,26105,2019-09-20 10:00:00,Saúda os presentes e comenta a importância do evento.,19,2019-09-20 10:00:00,"Parlamento Jovem de Minas 2019 - 16ª edição - Tema: Discriminação Étnico-
Racial"
